season,age,gender,ta,thermal_sensation,BMI,cluster
1.0,24.0,1.0,24.5,-0.5,26.894109105868356,0
1.0,24.0,2.0,24.0,0.0,20.97743780947237,1
1.0,24.0,1.0,25.2,0.4,25.481926701049588,0
1.0,31.0,1.0,25.2,-2.0,26.43784976384138,0
1.0,45.0,1.0,23.6,0.0,25.023080516644352,0
1.0,38.0,2.0,24.2,1.0,21.720851368340146,1
1.0,38.0,1.0,24.3,1.7,24.346474764329308,0
1.0,24.0,2.0,24.2,1.0,20.63190532095474,1
1.0,24.0,1.0,23.2,0.0,20.610168201928403,0
1.0,31.0,2.0,24.2,-0.5,21.246826827213376,1
1.0,38.0,2.0,23.2,-0.5,20.389117402897085,1
1.0,31.0,1.0,25.4,1.0,24.50637769919178,0
1.0,24.0,2.0,25.4,1.4,21.225303827245455,1
1.0,31.0,1.0,24.8,0.5,23.25123323172341,0
1.0,45.0,1.0,24.8,-0.8,25.98642948941201,0
1.0,45.0,1.0,24.3,1.0,25.784468370771368,0
1.0,31.0,1.0,24.5,2.1,23.233870846410653,3
1.0,31.0,1.0,24.5,-1.0,24.78389439342169,0
1.0,60.0,1.0,24.5,1.0,25.1077979271752,0
1.0,38.0,1.0,23.6,1.0,25.295433401465992,0
1.0,24.0,1.0,23.5,0.0,21.841843124361034,0
1.0,24.0,2.0,25.2,1.0,21.225303827245455,1
1.0,24.0,1.0,25.3,1.9,27.13844663655659,3
1.0,24.0,1.0,25.2,2.0,25.785627860822945,3
1.0,24.0,1.0,25.2,2.0,25.785627860822945,3
1.0,24.0,2.0,25.0,1.5,21.49662154004663,1
1.0,38.0,2.0,25.0,1.5,23.980441057009795,1
1.0,31.0,2.0,24.5,0.6,21.36598141236769,1
1.0,24.0,2.0,25.0,0.5,21.600120578662235,1
1.0,18.0,2.0,25.0,0.6,20.936859157738677,1
1.0,18.0,1.0,25.0,1.0,20.98105170617655,0
1.0,24.0,2.0,24.5,2.0,20.400229333552566,1
1.0,31.0,1.0,25.6,-1.0,25.738027964546973,0
1.0,24.0,1.0,25.6,1.0,27.226325709898653,0
1.0,24.0,1.0,25.3,1.3,27.226325709898653,0
1.0,18.0,1.0,25.3,1.3,20.98105170617655,0
1.0,38.0,1.0,23.5,-0.3,29.302550121039065,0
