season,age,gender,ta,thermal_sensation,BMI
1.0,31.0,2.0,24.6,0.0,21.700579042679795
1.0,24.0,1.0,24.6,0.0,24.399611808133738
1.0,24.0,2.0,25.7,1.5,20.498803029544945
1.0,24.0,1.0,25.7,1.0,27.226325709898653
1.0,24.0,1.0,25.4,0.5,26.252915258245434
1.0,31.0,1.0,25.4,-1.0,25.738027964546973
1.0,24.0,1.0,25.7,2.5,26.177929579135913
1.0,38.0,2.0,25.7,2.0,22.300857867118612
1.0,24.0,2.0,25.7,2.0,19.8388783658024
1.0,18.0,2.0,25.7,0.0,19.67449148063656
1.0,18.0,1.0,25.7,1.5,21.285600876812833
1.0,24.0,2.0,25.4,2.0,20.387921949555444
1.0,31.0,1.0,25.7,1.0,23.91653844821834
1.0,24.0,1.0,25.7,-0.1,24.85558468893684
1.0,18.0,1.0,25.7,0.7,21.285600876812833
1.0,38.0,1.0,23.5,0.0,29.302550121039065
1.0,38.0,2.0,23.5,0.0,20.509891612498894
1.0,24.0,2.0,23.5,1.0,20.31261843214317
1.0,24.0,1.0,23.5,0.0,21.841843124361034
1.0,31.0,2.0,23.5,-1.0,21.376747363674486
1.0,38.0,2.0,23.5,-1.0,19.898472876584915
1.0,31.0,1.0,24.6,1.0,22.706210360953257
1.0,31.0,1.0,24.6,0.5,22.437570514414592
1.0,45.0,1.0,24.6,-1.0,25.963255417952798
1.0,31.0,1.0,24.6,-1.8,22.931873383335574
1.0,60.0,1.0,24.6,-0.2,26.578485628812057
1.0,24.0,2.0,23.4,1.0,23.983458471070588
1.0,38.0,1.0,24.4,-1.0,24.1238059199587
1.0,24.0,2.0,23.0,0.0,24.360175937299765
1.0,38.0,1.0,24.0,1.5,24.34647476432931
1.0,31.0,1.0,23.0,0.5,25.0665050989161
1.0,38.0,1.0,23.0,0.5,24.79982457197665
1.0,38.0,1.0,22.5,-0.5,29.328255830098577
1.0,38.0,2.0,24.0,0.0,20.42685957679604
1.0,24.0,2.0,24.0,1.0,20.63190532095474
1.0,31.0,2.0,24.0,1.3,20.541103637407865
1.0,38.0,2.0,24.0,0.0,20.42685957679604
1.0,38.0,1.0,24.7,0.6,24.496964142791505
1.0,31.0,1.0,24.7,1.0,22.706210360953254
1.0,31.0,1.0,24.7,1.0,22.706210360953254
1.0,24.0,1.0,24.7,-1.0,29.761904761904766
1.0,24.0,2.0,24.7,0.0,20.483819319961547
1.0,24.0,1.0,24.4,0.0,26.442009866573745
1.0,31.0,2.0,25.3,-1.0,21.28967869261743
1.0,24.0,1.0,25.3,2.0,26.91612722384469
1.0,24.0,2.0,25.9,1.4,19.624154083696283
1.0,31.0,2.0,25.0,1.0,20.556199962497278
1.0,38.0,1.0,23.2,0.0,29.237087908770953
1.0,24.0,1.0,23.2,0.0,20.610168201928403
1.0,24.0,2.0,25.3,0.7,21.225303827245458
1.0,24.0,2.0,24.4,0.7,20.63190532095474
1.0,31.0,1.0,25.3,2.1,23.17831137721953
1.0,60.0,1.0,25.3,0.2,25.65039712890907
1.0,38.0,1.0,24.7,0.2,23.935520227501847
1.0,31.0,1.0,24.7,-0.5,22.437570514414592
1.0,31.0,1.0,24.7,-1.0,24.84926452061547
1.0,38.0,1.0,24.7,1.4,25.383814409213176
1.0,24.0,1.0,24.7,2.0,21.788765620150826
1.0,31.0,1.0,24.7,0.5,22.437570514414592
1.0,31.0,1.0,24.7,0.5,22.437570514414592
1.0,52.0,1.0,25.1,0.0,28.473130354744434
1.0,45.0,1.0,25.1,2.0,25.841674840447876
1.0,24.0,2.0,25.0,-0.5,21.49662154004663
1.0,24.0,1.0,25.0,0.5,24.85695809959948
1.0,38.0,1.0,23.9,-0.5,22.889136064811744
1.0,24.0,2.0,25.1,0.8,21.49662154004663
1.0,31.0,1.0,25.1,0.0,22.79379175978329
1.0,45.0,1.0,25.1,-1.0,25.005171582073153
1.0,38.0,1.0,24.4,0.0,24.92188564868253
1.0,24.0,1.0,23.8,0.6,24.344393459995445
1.0,18.0,2.0,23.8,0.0,22.024151568415363
1.0,38.0,2.0,23.8,0.0,20.42685957679604
1.0,31.0,2.0,23.2,-0.5,21.837549184887386
1.0,52.0,1.0,23.2,0.0,24.22435986623281
1.0,24.0,2.0,23.2,1.5,23.69025146903761
1.0,24.0,2.0,22.4,0.0,24.35473510943232
1.0,38.0,2.0,22.4,-0.5,20.592923648201744
1.0,24.0,1.0,23.5,0.0,21.841843124361034
1.0,31.0,1.0,22.0,-1.0,23.94468470758878
1.0,24.0,1.0,22.0,-1.0,17.24574290314445
1.0,31.0,1.0,22.0,0.0,27.51361281958172
1.0,18.0,2.0,23.9,0.4,21.50044448267268
1.0,31.0,1.0,23.4,0.0,23.52654131790789
1.0,38.0,1.0,23.4,1.0,25.12748583244409
1.0,18.0,2.0,23.5,0.0,20.55842019243649
1.0,38.0,2.0,23.5,-1.0,19.898472876584915
1.0,18.0,2.0,24.5,1.5,21.92684157701772
1.0,31.0,1.0,23.7,-1.0,25.79562200403518
1.0,31.0,1.0,23.7,1.5,22.706210360953254
1.0,24.0,2.0,23.9,0.0,20.914283293826237
1.0,60.0,1.0,23.5,0.0,23.07641723356009
1.0,24.0,2.0,23.5,2.0,21.1082673215087
1.0,24.0,2.0,24.2,1.4,20.63190532095474
1.0,31.0,2.0,24.0,-0.3,21.19028296064918
1.0,24.0,1.0,22.7,-1.0,19.982192803083798
1.0,31.0,2.0,23.0,-0.4,21.837549184887386
1.0,24.0,2.0,23.5,-1.0,21.398364099765956
1.0,38.0,1.0,23.0,0.0,24.79982457197665
1.0,24.0,1.0,23.0,0.0,20.203683651763516
1.0,24.0,2.0,22.2,-0.9,22.525090177123467
1.0,24.0,2.0,22.4,-1.0,22.516401010439576
1.0,24.0,2.0,23.4,0.0,23.21654550065557
1.0,38.0,2.0,24.7,2.5,24.71592763966418
1.0,31.0,2.0,24.5,-0.5,20.843600582513766
1.0,24.0,2.0,22.8,-1.0,22.690394024708304
1.0,31.0,1.0,22.8,0.0,24.649858180709757
1.0,31.0,2.0,22.4,-2.0,20.62939676768455
1.0,24.0,1.0,24.1,2.0,24.68495702445569
1.0,31.0,1.0,23.8,-0.2,23.52654131790789
1.0,24.0,1.0,23.8,0.0,24.344393459995445
1.0,31.0,1.0,23.8,-0.5,24.665648193090277
1.0,18.0,2.0,24.6,0.9,21.587418411174138
1.0,31.0,1.0,24.3,0.0,20.88169864497538
1.0,38.0,1.0,24.4,2.0,24.346474764329308
1.0,24.0,1.0,24.4,0.3,26.442009866573745
1.0,18.0,2.0,24.4,0.0,20.101083225807525
1.0,38.0,2.0,24.4,1.5,22.529990094482976
1.0,31.0,2.0,24.7,0.0,20.383195250518263
1.0,24.0,2.0,24.7,2.0,20.400229333552566
1.0,24.0,2.0,24.0,1.0,20.63190532095474
1.0,18.0,2.0,24.0,1.0,22.767086012634813
1.0,38.0,2.0,24.0,-1.0,20.019247086186724
1.0,38.0,2.0,24.0,1.5,23.301681440891752
1.0,38.0,1.0,23.6,-0.5,27.69452652898599
1.0,24.0,1.0,23.6,0.0,22.497796833179038
1.0,24.0,2.0,23.6,-1.0,21.398364099765956
1.0,38.0,2.0,24.6,2.5,24.71592763966418
1.0,31.0,1.0,23.6,-1.0,25.79562200403518
1.0,31.0,1.0,23.6,-1.0,25.79562200403518
1.0,60.0,1.0,24.1,0.5,25.46938775510204
1.0,24.0,2.0,24.1,-1.0,21.09420065586664
1.0,31.0,2.0,24.1,1.1,21.06253248401488
1.0,31.0,2.0,24.1,-0.3,21.19028296064918
1.0,24.0,2.0,24.1,0.4,21.219152269479356
1.0,24.0,1.0,23.7,1.0,24.832986137915917
1.0,31.0,1.0,23.0,0.2,23.571589517625476
1.0,24.0,1.0,23.0,1.0,21.588013079659174
1.0,31.0,1.0,23.0,-0.3,25.24756713955975
1.0,31.0,1.0,24.0,-1.0,24.78389439342169
1.0,38.0,1.0,24.3,1.0,25.069049017250517
1.0,24.0,1.0,24.3,0.7,26.894109105868353
1.0,38.0,2.0,24.3,0.0,22.219686141072952
1.0,31.0,2.0,24.5,0.0,21.76244560306506
1.0,24.0,2.0,24.5,1.0,20.63190532095474
1.0,24.0,2.0,23.2,0.0,23.21654550065557
1.0,18.0,2.0,23.2,1.0,20.55842019243649
1.0,38.0,2.0,23.2,0.0,20.796729893506402
1.0,38.0,1.0,23.9,-0.4,22.889136064811744
1.0,24.0,1.0,23.9,0.0,24.34439345999545
1.0,24.0,2.0,23.9,3.0,22.01594623263961
1.0,24.0,2.0,24.4,-0.2,21.820058068968304
1.0,38.0,2.0,24.4,0.5,22.219686141072952
1.0,24.0,2.0,23.9,-1.0,21.094200655866644
1.0,18.0,2.0,23.7,1.0,20.55842019243649
1.0,31.0,1.0,23.9,-1.0,25.79562200403518
1.0,31.0,1.0,23.9,1.0,22.706210360953254
1.0,24.0,2.0,23.7,0.0,23.521414476308692
1.0,31.0,2.0,23.7,1.3,19.716225862448038
1.0,24.0,1.0,23.7,0.5,22.497796833179038
1.0,31.0,2.0,23.7,-0.2,21.980503594414547
1.0,24.0,2.0,23.7,0.5,23.521414476308692
1.0,18.0,2.0,23.6,2.0,23.91426441384552
1.0,18.0,2.0,23.2,0.0,20.55842019243649
1.0,24.0,2.0,23.6,0.0,23.21654550065557
1.0,24.0,2.0,22.5,-1.0,22.690394024708304
1.0,31.0,1.0,22.7,-2.2,24.20759268454924
1.0,18.0,2.0,23.2,-3.0,21.906028967917397
1.0,31.0,1.0,22.7,-0.3,25.932435505718967
1.0,24.0,1.0,23.0,-0.7,22.439490144102503
1.0,31.0,2.0,23.6,0.0,22.778653528009407
1.0,24.0,2.0,23.6,1.0,20.89611078374335
1.0,31.0,1.0,23.2,0.0,25.0264984098242
1.0,38.0,1.0,22.9,-0.2,25.675674931116497
1.0,45.0,2.0,22.9,1.0,24.663680883490336
1.0,18.0,2.0,22.9,0.0,20.55842019243649
1.0,31.0,2.0,22.9,-0.7,21.837549184887386
1.0,38.0,1.0,25.5,3.0,28.329359568557457
1.0,31.0,1.0,25.5,2.0,22.164343453124765
1.0,31.0,2.0,25.5,1.0,18.749999999999996
1.0,60.0,1.0,25.5,0.4,25.575669986416145
1.0,31.0,1.0,25.5,1.0,24.50637769919178
1.0,31.0,1.0,22.7,1.0,28.030053736442756
1.0,38.0,1.0,23.2,-0.7,29.328255830098577
1.0,45.0,2.0,23.2,-0.8,26.059071409180245
1.0,24.0,2.0,23.2,0.0,23.21654550065557
1.0,24.0,2.0,23.2,-2.3,22.59249860314186
1.0,24.0,2.0,23.2,1.0,21.403704211356917
1.0,24.0,2.0,23.2,-1.0,22.35434007134364
1.0,24.0,1.0,23.2,-0.3,20.610168201928403
1.0,24.0,1.0,23.2,-0.5,21.46761931905823
1.0,18.0,2.0,23.2,-0.4,20.55842019243649
1.0,24.0,2.0,24.2,1.0,20.63190532095474
1.0,18.0,2.0,24.2,-0.5,19.79610583763227
1.0,38.0,1.0,24.2,1.0,24.031709372366656
1.0,38.0,2.0,22.8,-1.1,21.984176580244792
1.0,31.0,1.0,23.1,-0.2,24.862510924243825
1.0,38.0,1.0,23.0,0.0,24.79982457197665
1.0,45.0,2.0,23.0,0.0,27.37960279851651
1.0,31.0,2.0,23.0,-0.9,21.837549184887386
1.0,38.0,1.0,25.2,3.0,25.596594267147847
1.0,31.0,1.0,25.2,1.0,23.749038039744217
1.0,31.0,2.0,25.2,2.0,20.873859384061433
1.0,60.0,1.0,25.2,0.5,25.65039712890907
1.0,31.0,1.0,23.4,-2.0,23.825354793617652
1.0,31.0,1.0,23.4,2.0,26.5441222968617
1.0,38.0,1.0,23.4,-1.7,26.13346209713298
1.0,45.0,2.0,25.2,0.5,25.81394842204
1.0,24.0,2.0,23.4,0.0,23.21654550065557
1.0,24.0,2.0,23.4,-3.0,22.484568027158783
1.0,24.0,1.0,23.4,-1.0,23.74044592774739
1.0,24.0,2.0,23.2,-0.8,22.35434007134364
1.0,24.0,1.0,23.2,0.7,20.610168201928406
1.0,24.0,1.0,23.2,0.0,20.610168201928403
1.0,24.0,2.0,24.5,0.0,20.506310322743175
1.0,18.0,2.0,24.4,1.0,21.156701328939885
1.0,38.0,1.0,24.5,0.0,24.92188564868253
1.0,31.0,1.0,22.7,-1.7,25.8713299508067
1.0,38.0,1.0,24.7,0.0,23.935520227501847
1.0,45.0,2.0,22.9,0.3,27.37960279851651
1.0,18.0,2.0,22.9,1.0,20.55842019243649
1.0,31.0,2.0,22.9,-0.5,21.837549184887386
1.0,38.0,1.0,24.9,-1.0,22.6664997396211
1.0,31.0,1.0,24.7,0.0,21.948150362352557
1.0,31.0,2.0,24.7,2.2,21.400994073601346
1.0,31.0,1.0,23.7,-0.4,25.51798784458989
1.0,31.0,1.0,24.7,2.0,22.94226086908639
1.0,38.0,1.0,23.7,-1.6,24.356544797834534
1.0,45.0,2.0,24.7,-1.4,24.049285721808335
1.0,24.0,2.0,23.7,-2.0,22.38920071036183
1.0,24.0,1.0,23.2,-2.0,21.758877267676656
1.0,24.0,1.0,23.7,-1.0,23.32299668553706
1.0,24.0,2.0,23.7,0.5,23.521414476308692
1.0,24.0,1.0,23.7,-1.0,23.32299668553706
1.0,24.0,1.0,23.5,1.0,24.253840692260745
1.0,18.0,2.0,24.3,2.0,24.271315136283256
1.0,24.0,2.0,24.5,0.2,20.506310322743175
1.0,18.0,2.0,24.5,-0.5,19.285660292728632
1.0,38.0,1.0,23.7,1.0,25.069049017250517
1.0,38.0,2.0,23.5,-0.8,19.898472876584915
1.0,31.0,1.0,23.5,-1.7,24.837082404231143
1.0,38.0,2.0,25.0,1.0,24.56883997638571
1.0,31.0,2.0,22.7,0.5,21.487999386253904
1.0,24.0,2.0,23.7,0.0,23.521414476308692
1.0,18.0,2.0,23.7,1.0,20.55842019243649
1.0,31.0,2.0,22.3,0.0,21.709366503573
1.0,24.0,1.0,22.3,0.5,19.584872965013545
1.0,18.0,2.0,22.3,0.0,18.489877028518112
1.0,31.0,2.0,24.1,0.5,22.81753194655925
1.0,38.0,2.0,24.1,-0.5,20.260795505390337
1.0,24.0,1.0,24.1,0.0,26.07908850398216
1.0,38.0,2.0,24.1,0.0,20.5288772344584
1.0,31.0,1.0,24.1,1.0,22.706210360953254
1.0,31.0,1.0,22.8,-1.0,24.99686578387341
1.0,38.0,1.0,22.8,1.0,25.418158571896583
1.0,24.0,1.0,22.8,-1.7,20.560491361292982
1.0,24.0,1.0,26.1,0.0,23.82273222144963
1.0,31.0,1.0,26.1,0.3,24.114607896190243
1.0,38.0,1.0,24.5,0.0,24.92188564868253
1.0,38.0,1.0,24.2,1.0,24.031709372366656
1.0,52.0,1.0,24.1,1.0,28.288212596612603
1.0,24.0,2.0,24.1,1.7,20.63190532095474
1.0,18.0,2.0,24.1,-0.5,20.399532311130052
1.0,31.0,2.0,26.1,0.0,18.749999999999996
1.0,31.0,2.0,24.2,-0.5,21.246826827213376
1.0,24.0,2.0,25.4,0.0,22.829417013887177
1.0,24.0,2.0,25.4,1.0,21.225303827245458
1.0,38.0,2.0,25.4,0.0,23.113246239103916
1.0,31.0,2.0,25.4,0.9,20.04986744097967
1.0,24.0,2.0,25.4,0.0,22.829417013887177
1.0,24.0,2.0,25.4,1.0,21.225303827245458
1.0,18.0,2.0,25.4,0.0,19.88741094667621
1.0,38.0,2.0,25.4,-1.0,29.791587930276354
1.0,31.0,2.0,25.8,-0.5,20.234374999999996
1.0,18.0,2.0,25.8,1.0,23.271206962297335
1.0,24.0,1.0,22.5,-0.8,17.245742903144446
1.0,18.0,2.0,23.3,3.0,20.515851403642735
1.0,31.0,2.0,22.8,-2.0,20.629396767684554
1.0,18.0,2.0,23.8,-0.4,21.400926176311522
1.0,31.0,2.0,23.8,0.5,21.351250156682106
1.0,24.0,2.0,22.9,0.5,25.001098866317548
1.0,24.0,2.0,22.9,-0.5,22.259283667507944
1.0,31.0,2.0,22.8,-0.6,22.32937685969575
1.0,24.0,2.0,23.0,-1.0,22.690394024708304
1.0,18.0,2.0,22.8,-0.5,20.55842019243649
1.0,24.0,1.0,23.0,0.0,20.203683651763516
1.0,31.0,1.0,23.0,-1.0,26.88596614547081
1.0,38.0,1.0,22.8,0.3,27.609711492051453
1.0,38.0,1.0,22.8,0.0,27.609711492051453
1.0,24.0,2.0,22.8,-1.6,22.690394024708304
1.0,18.0,2.0,22.8,-0.5,20.55842019243649
1.0,18.0,2.0,23.0,-1.5,21.53616071428571
1.0,31.0,1.0,23.0,0.0,23.571589517625476
1.0,38.0,1.0,23.0,-1.0,27.711387545789837
1.0,24.0,1.0,22.7,1.0,20.969202392909203
1.0,31.0,2.0,23.0,-1.0,21.837549184887386
1.0,31.0,2.0,23.6,0.5,22.778653528009407
1.0,24.0,2.0,22.8,1.0,24.47150146903761
1.0,24.0,2.0,23.0,-1.0,22.690394024708304
1.0,38.0,2.0,23.3,-1.0,19.89847287658492
1.0,31.0,2.0,23.5,-0.5,21.376747363674486
1.0,24.0,2.0,23.9,1.0,20.896110783743346
1.0,24.0,1.0,23.9,2.0,25.464312433897078
1.0,31.0,1.0,23.9,-0.5,24.665648193090277
1.0,38.0,1.0,23.4,0.0,29.269819014905003
1.0,38.0,1.0,23.4,-0.3,29.269819014905003
1.0,52.0,1.0,23.4,1.0,26.641941339014515
1.0,24.0,2.0,23.4,-1.3,21.43902761263047
1.0,31.0,2.0,22.5,1.0,22.51593176474413
1.0,24.0,1.0,22.5,-0.3,19.584872965013545
1.0,18.0,2.0,22.5,-0.5,19.19325953933862
1.0,31.0,2.0,23.8,0.8,19.716225862448038
1.0,38.0,2.0,23.5,-1.0,19.898472876584915
1.0,38.0,2.0,23.8,0.5,20.42685957679604
1.0,31.0,1.0,23.7,1.0,22.706210360953254
1.0,38.0,1.0,22.5,-1.0,27.11043663630536
1.0,24.0,1.0,22.5,-0.5,17.849977290386
1.0,24.0,1.0,23.4,-0.8,23.740445927747384
1.0,18.0,2.0,23.4,-1.0,18.896779730410678
1.0,31.0,2.0,23.7,-0.2,21.980503594414547
1.0,24.0,2.0,23.7,-2.3,22.38920071036183
1.0,24.0,2.0,23.9,-1.0,21.094200655866644
1.0,38.0,2.0,23.7,-0.5,20.102279121889577
1.0,31.0,2.0,23.7,1.0,19.716225862448038
1.0,24.0,2.0,23.7,-1.0,21.398364099765956
1.0,18.0,2.0,23.7,0.0,20.55842019243649
1.0,38.0,2.0,23.7,-1.0,20.019247086186727
1.0,31.0,2.0,24.3,-0.2,20.78705671594958
1.0,18.0,2.0,24.3,0.0,19.79610583763227
1.0,31.0,2.0,23.5,-0.5,21.376747363674486
1.0,24.0,2.0,23.5,-1.0,21.398364099765956
1.0,24.0,2.0,23.5,-1.0,21.398364099765956
1.0,38.0,2.0,23.5,0.0,20.509891612498894
1.0,31.0,2.0,23.5,0.2,22.519273797680967
1.0,24.0,2.0,23.5,-1.0,21.398364099765956
1.0,24.0,2.0,23.5,0.0,23.21654550065557
1.0,18.0,2.0,23.5,0.0,20.55842019243649
1.0,38.0,2.0,23.5,-1.0,19.898472876584915
1.0,31.0,2.0,23.7,-0.5,21.13373909408499
1.0,18.0,2.0,23.9,0.2,21.321206788556417
1.0,18.0,2.0,23.5,-0.4,20.55842019243649
1.0,31.0,2.0,23.5,0.0,22.3474433607342
1.0,24.0,2.0,23.5,0.0,23.21654550065557
1.0,24.0,2.0,23.5,-2.0,21.30121112722634
1.0,31.0,2.0,23.5,-0.5,21.376747363674486
1.0,18.0,2.0,22.4,-1.0,19.7841445373303
1.0,52.0,1.0,22.8,1.0,25.67469137929475
1.0,24.0,1.0,22.4,-0.3,19.584872965013545
1.0,31.0,2.0,23.5,0.5,22.519273797680967
1.0,38.0,2.0,23.5,-0.9,19.898472876584915
1.0,38.0,2.0,23.5,-1.0,19.898472876584915
1.0,31.0,1.0,23.5,1.0,22.706210360953254
1.0,31.0,1.0,22.4,0.0,25.653387300677856
1.0,31.0,1.0,25.8,1.0,23.73151325781304
1.0,31.0,1.0,24.8,1.5,22.706210360953254
1.0,31.0,1.0,25.2,0.0,22.79379175978329
1.0,24.0,2.0,25.5,1.0,21.225303827245458
1.0,24.0,1.0,20.5,0.5,19.476345291504447
1.0,24.0,2.0,20.4,-0.5,19.260986849870395
1.0,24.0,2.0,19.8,-2.5,22.134411669854593
1.0,24.0,2.0,19.8,-2.0,20.477879141803086
1.0,24.0,2.0,20.2,-2.0,19.82083265417057
1.0,31.0,2.0,20.6,-0.7,21.845519100010208
1.0,38.0,1.0,26.2,0.5,22.911121763892933
1.0,38.0,1.0,26.2,1.0,22.069791566689123
1.0,24.0,1.0,25.3,1.0,27.226325709898653
1.0,38.0,2.0,25.5,1.0,24.025442770497296
