season,age,gender,ta,thermal_sensation,BMI
1.0,38.0,1.0,24.9,-1.0,22.6664997396211
1.0,24.0,2.0,24.5,0.5,20.021523985049647
1.0,24.0,1.0,24.3,0.0,26.44200986657375
1.0,31.0,1.0,24.3,-1.0,24.78389439342169
1.0,24.0,1.0,24.5,0.0,25.42081083735374
1.0,24.0,1.0,24.5,2.0,22.603262022630066
1.0,24.0,2.0,24.5,1.5,20.63190532095474
1.0,38.0,2.0,24.5,1.5,22.529990094482976
1.0,45.0,1.0,24.0,0.0,24.149923436428722
1.0,31.0,2.0,24.3,1.0,20.05168348534583
1.0,24.0,2.0,24.5,0.0,20.506310322743175
1.0,18.0,2.0,24.5,0.0,19.901543293148787
1.0,18.0,1.0,24.5,0.0,23.231932470178755
1.0,24.0,2.0,24.3,2.0,20.400229333552566
1.0,31.0,1.0,24.5,-1.0,24.78389439342169
1.0,24.0,1.0,24.5,1.0,25.38047999679636
1.0,24.0,1.0,24.5,0.1,25.42081083735374
1.0,18.0,1.0,24.5,0.7,21.379702526834695
1.0,38.0,1.0,23.4,0.2,29.269819014905003
1.0,24.0,2.0,23.4,2.0,21.108267321508695
1.0,24.0,2.0,23.4,2.0,21.108267321508695
1.0,38.0,1.0,24.0,-1.1,23.266328345451246
1.0,24.0,1.0,24.4,-2.0,22.395413419331717
1.0,38.0,1.0,23.4,0.0,29.269819014905003
1.0,24.0,1.0,23.7,0.4,22.497796833179038
1.0,31.0,1.0,24.4,-2.0,21.38037708233537
1.0,24.0,1.0,23.7,0.0,22.497796833179038
1.0,45.0,1.0,23.7,-0.1,24.393422269723835
1.0,45.0,1.0,24.4,-0.5,26.550719235874425
1.0,31.0,1.0,24.4,-0.5,23.39141857595687
1.0,31.0,1.0,24.4,0.0,20.88169864497538
1.0,60.0,1.0,24.4,0.0,26.244046701545734
1.0,38.0,1.0,23.7,0.8,25.069049017250517
1.0,24.0,2.0,24.4,-0.5,21.05289375840328
1.0,38.0,1.0,24.4,1.0,25.069049017250517
1.0,38.0,1.0,23.7,0.4,26.05377183079886
1.0,24.0,1.0,23.4,0.3,22.080935287303944
