Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,28.2,0.0,3.0,0.0,cooler,,no change,,2.6,96.0,31.01,0.68,1.0,,,,,34.3,93.7,,,,,,,,,,,,,34.1,93.4,,,,,19.0,,,0.21,41.34,,,,,,,,74.0,,,1.0,1.0,,31.5,88.7,Database 2,4429.543282118772
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,28.2,0.0,3.0,0.0,cooler,,more,,2.6,96.0,31.01,0.68,1.0,,,,,34.3,93.7,,,,,,,,,,,,,34.1,93.4,,,,,19.0,,,0.21,41.34,,,,,,,,47.0,,,1.0,1.0,,31.5,88.7,Database 2,4429.543282118772
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,34.6,1.0,3.0,1.0,cooler,,more,,2.6,96.0,30.78,0.63,1.0,,,,,34.3,93.7,,,,,,,,,,,,,34.1,93.4,,,,,19.0,,,0.21,41.34,,,,,,,,56.0,,,1.0,1.0,,31.5,88.7,Database 2,4438.52231321298
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,28.4,1.0,3.0,1.0,cooler,,more,,2.2,85.0,31.57,0.72,1.0,,,,,32.1,89.8,,,,,,,,,,,,,32.1,89.8,,,,,37.0,,,0.15,29.53,,,,,,,,45.0,,,,0.0,,31.5,88.7,Database 2,3207.6998512292835
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,33.0,0.0,-1.0,1.0,cooler,,less,,2.2,84.0,31.37,0.68,1.0,,,,,32.1,89.8,,,,,,,,,,,,,32.1,89.8,,,,,37.0,,,0.15,29.53,,,,,,,,65.0,,,,0.0,,31.5,88.7,Database 2,4119.223567126628
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Naturally Ventilated,,,28.4,1.0,3.0,1.0,cooler,,more,,2.2,85.0,31.57,0.72,1.0,,,,,32.1,89.8,,,,,,,,,,,,,32.1,89.8,,,,,37.0,,,0.15,29.53,,,,,,,,55.0,,,,0.0,,31.5,88.7,Database 2,3207.6998512292835
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,22.4,0.0,-1.0,1.0,cooler,,less,,0.5,9.0,26.56,0.68,1.0,,,,,26.7,80.1,,,,,,,,,,,,,27.6,81.7,,,,,32.0,,,0.24,47.24,,,,,,,,72.0,,,0.0,0.0,,31.5,88.7,Database 2,3776.9564537488
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,23.6,0.0,-2.0,1.0,warmer,,more,,0.5,9.0,26.56,0.68,1.0,,,,,26.7,80.1,,,,,,,,,,,,,27.6,81.7,,,,,32.0,,,0.24,47.24,,,,,,,,69.0,,,0.0,0.0,,31.5,88.7,Database 2,3576.8582747350347
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,29.4,1.0,-2.0,1.0,warmer,,more,,0.4,8.0,26.27,0.63,1.0,,,,,26.7,80.1,,,,,,,,,,,,,27.6,81.7,,,,,32.0,,,0.24,47.24,,,,,,,,55.0,,,0.0,0.0,,31.5,88.7,Database 2,3456.36894978262
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,23.2,1.0,-1.0,1.0,no change,,no change,,0.5,11.0,26.79,0.72,1.0,,,,,26.7,80.1,,,,,,,,,,,,,27.6,81.7,,,,,32.0,,,0.24,47.24,,,,,,,,70.0,,,0.0,0.0,,31.5,88.7,Database 2,3385.219035120609
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,22.4,0.0,-1.0,1.0,warmer,,less,,0.4,8.0,26.21,0.62,1.0,,,,,26.7,80.1,,,,,,,,,,,,,27.6,81.7,,,,,32.0,,,0.24,47.24,,,,,,,,55.0,,,0.0,0.0,,31.5,88.7,Database 2,3776.9564537488
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,BSh,1.0,Hyderabad,India,Office,Mixed Mode,Air Conditioned,,31.4,0.0,0.0,1.0,cooler,,more,,0.5,9.0,26.56,0.68,1.0,,,,,26.7,80.1,,,,,,,,,,,,,27.6,81.7,,,,,32.0,,,0.24,47.24,,,,,,,,78.0,,,0.0,0.0,,31.5,88.7,Database 2,4216.05554478261
