Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject height (cm),Subject weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database,BMI
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.8,0.0,-2.0,1.0,warmer,,more,,0.8,19.0,28.23,0.72,1.0,,,,,27.0,80.6,,,,,,,,,,,,,27.8,82.0,,,,,43.0,,,0.14,27.56,,,,,,,,80.0,,,0.0,1.0,,30.4,86.7,Database 2,3759.479661035134
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.0,1.0,1.0,1.0,cooler,,more,,1.1,30.0,29.63,0.97,1.0,,,,,27.0,80.6,,,,,,,,,,,,,27.8,82.0,,,,,43.0,,,0.14,27.56,,,,,,,,74.0,,,0.0,1.0,,30.4,86.7,Database 2,3398.7719431104915
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,36.6,0.0,-1.0,1.0,warmer,,more,,0.8,19.0,28.23,0.72,1.0,,,,,27.0,80.6,,,,,,,,,,,,,27.8,82.0,,,,,43.0,,,0.14,27.56,,,,,,,,62.0,,,0.0,1.0,,30.4,86.7,Database 2,4111.264434676425
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,31.8,0.0,-2.0,1.0,warmer,,no change,,0.8,17.0,28.0,0.68,1.0,,,,,27.0,80.6,,,,,,,,,,,,,27.8,82.0,,,,,43.0,,,0.14,27.56,,,,,,,,56.0,,,0.0,1.0,,30.4,86.7,Database 2,3759.479661035134
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.8,0.0,-3.0,0.0,warmer,,less,,0.3,8.0,26.46,0.72,1.0,,,,,26.7,80.1,,,,,,,,,,,,,25.6,78.1,,,,,59.0,,,0.1,19.69,,,,,,,,53.0,,,0.0,0.0,,30.4,86.7,Database 2,3884.574024761447
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,36.0,0.0,2.0,1.0,cooler,,more,,0.3,7.0,26.31,0.7,1.0,,,,,26.7,80.1,,,,,,,,,,,,,25.6,78.1,,,,,59.0,,,0.1,19.69,,,,,,,,56.0,,,0.0,0.0,,30.4,86.7,Database 2,3576.759990879845
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,36.0,0.0,2.0,1.0,cooler,,more,,0.3,7.0,26.31,0.7,1.0,,,,,26.7,80.1,,,,,,,,,,,,,25.6,78.1,,,,,59.0,,,0.1,19.69,,,,,,,,85.0,,,0.0,0.0,,30.4,86.7,Database 2,3576.759990879845
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,36.0,0.0,2.0,1.0,cooler,,more,,0.2,6.0,25.86,0.64,1.0,,,,,26.7,80.1,,,,,,,,,,,,,25.6,78.1,,,,,59.0,,,0.1,19.69,,,,,,,,64.0,,,0.0,0.0,,30.4,86.7,Database 2,3576.759990879845
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,35.0,1.0,2.0,1.0,cooler,,more,,0.2,6.0,25.93,0.65,1.0,,,,,26.7,80.1,,,,,,,,,,,,,25.6,78.1,,,,,59.0,,,0.1,19.69,,,,,,,,54.0,,,0.0,0.0,,30.4,86.7,Database 2,3545.423759970084
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,27.4,0.0,-1.0,1.0,warmer,,more,,-0.2,6.0,25.59,0.64,1.0,,,,,20.8,69.4,,,,,,,,,,,,,25.7,78.3,,,,,59.0,,,0.05,9.84,,,,,,,,72.0,,,0.0,0.0,,30.4,86.7,Database 2,3888.904168499103
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,25.6,0.0,2.0,0.0,cooler,,more,,-0.2,6.0,25.72,0.66,1.0,,,,,20.8,69.4,,,,,,,,,,,,,25.7,78.3,,,,,59.0,,,0.05,9.84,,,,,,,,69.0,,,0.0,0.0,,30.4,86.7,Database 2,4194.057716282238
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,0.0,1.0,cooler,,more,,-0.1,5.0,25.98,0.7,1.0,,,,,20.8,69.4,,,,,,,,,,,,,25.7,78.3,,,,,59.0,,,0.05,9.84,,,,,,,,71.0,,,0.0,0.0,,30.4,86.7,Database 2,4538.916544723365
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,29.0,0.0,0.0,1.0,no change,,no change,,-0.3,6.0,25.45,0.62,1.0,,,,,20.8,69.4,,,,,,,,,,,,,25.7,78.3,,,,,59.0,,,0.05,9.84,,,,,,,,63.0,,,0.0,0.0,,30.4,86.7,Database 2,4538.916544723365
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,27.4,0.0,-1.0,1.0,cooler,,less,,-0.1,5.0,26.11,0.72,1.0,,,,,20.8,69.4,,,,,,,,,,,,,25.7,78.3,,,,,59.0,,,0.05,9.84,,,,,,,,62.0,,,0.0,0.0,,30.4,86.7,Database 2,3888.904168499103
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,19.4,0.0,1.0,1.0,no change,,more,,-0.1,5.0,26.11,0.72,1.0,,,,,20.8,69.4,,,,,,,,,,,,,25.7,78.3,,,,,59.0,,,0.05,9.84,,,,,,,,68.0,,,0.0,0.0,,30.4,86.7,Database 2,3838.803466320873
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,0.0,Aw,0.0,Chennai,India,Office,Mixed Mode,Air Conditioned,,27.2,0.0,3.0,1.0,cooler,,less,,-0.2,6.0,25.72,0.66,1.0,,,,,20.8,69.4,,,,,,,,,,,,,25.7,78.3,,,,,59.0,,,0.05,9.84,,,,,,,,60.0,,,0.0,0.0,,30.4,86.7,Database 2,3599.325289041014
